goos: darwin
goarch: arm64
pkg: github.com/jackielii/structpages
cpu: Apple M1 Pro
BenchmarkIDGeneration/IDFor_Ref-8                           	 6813220	       346.0 ns/op	     184 B/op	       5 allocs/op
BenchmarkIDGeneration/IDFor_Ref-8                           	 6895848	       368.4 ns/op	     184 B/op	       5 allocs/op
BenchmarkIDGeneration/IDFor_Ref-8                           	 6344620	       347.6 ns/op	     184 B/op	       5 allocs/op
BenchmarkIDGeneration/IDTarget_UnboundMethod-8              	 9296401	       259.8 ns/op	     152 B/op	       5 allocs/op
BenchmarkIDGeneration/IDTarget_UnboundMethod-8              	 9330374	       259.7 ns/op	     152 B/op	       5 allocs/op
BenchmarkIDGeneration/IDTarget_UnboundMethod-8              	 8910768	       261.5 ns/op	     152 B/op	       5 allocs/op
BenchmarkURLGenerationV05/Typed-8                           	 7941255	       302.7 ns/op	     184 B/op	       8 allocs/op
BenchmarkURLGenerationV05/Typed-8                           	 8029954	       303.1 ns/op	     184 B/op	       8 allocs/op
BenchmarkURLGenerationV05/Typed-8                           	 7776214	       304.5 ns/op	     184 B/op	       8 allocs/op
BenchmarkURLGenerationV05/StringAsRef-8                     	 8812616	       280.7 ns/op	     176 B/op	       7 allocs/op
BenchmarkURLGenerationV05/StringAsRef-8                     	 8812994	       275.1 ns/op	     176 B/op	       7 allocs/op
BenchmarkURLGenerationV05/StringAsRef-8                     	 8841468	       272.5 ns/op	     176 B/op	       7 allocs/op
BenchmarkURLGenerationV05/ExplicitRef-8                     	 8713850	       279.6 ns/op	     176 B/op	       7 allocs/op
BenchmarkURLGenerationV05/ExplicitRef-8                     	 8800898	       274.3 ns/op	     176 B/op	       7 allocs/op
BenchmarkURLGenerationV05/ExplicitRef-8                     	 8902401	       272.7 ns/op	     176 B/op	       7 allocs/op
BenchmarkIDGenerationV06/SelfRender_MethodExpr-8            	 7596165	       354.7 ns/op	     168 B/op	       6 allocs/op
BenchmarkIDGenerationV06/SelfRender_MethodExpr-8            	 7578837	       341.5 ns/op	     168 B/op	       6 allocs/op
BenchmarkIDGenerationV06/SelfRender_MethodExpr-8            	 7375905	       321.0 ns/op	     168 B/op	       6 allocs/op
BenchmarkIDGenerationV06/CrossPage_SameNameMounts_NoError-8 	 6845926	       352.9 ns/op	     136 B/op	       7 allocs/op
BenchmarkIDGenerationV06/CrossPage_SameNameMounts_NoError-8 	 6723865	       359.4 ns/op	     136 B/op	       7 allocs/op
BenchmarkIDGenerationV06/CrossPage_SameNameMounts_NoError-8 	 6741973	       354.7 ns/op	     136 B/op	       7 allocs/op
BenchmarkIDGenerationV06/Chain_StringTerminal-8             	 5186217	       461.1 ns/op	     248 B/op	       9 allocs/op
BenchmarkIDGenerationV06/Chain_StringTerminal-8             	 5160282	       475.7 ns/op	     248 B/op	       9 allocs/op
BenchmarkIDGenerationV06/Chain_StringTerminal-8             	 5127111	       470.3 ns/op	     248 B/op	       9 allocs/op
BenchmarkIDGenerationV06/Chain_MethodExprTerminal-8         	 4529448	       509.8 ns/op	     232 B/op	       9 allocs/op
BenchmarkIDGenerationV06/Chain_MethodExprTerminal-8         	 4798182	       512.4 ns/op	     232 B/op	       9 allocs/op
BenchmarkIDGenerationV06/Chain_MethodExprTerminal-8         	 4703030	       507.7 ns/op	     232 B/op	       9 allocs/op
PASS
ok  	github.com/jackielii/structpages	218.033s
